virusUprot,humanUprot
Q6QZ88,O00571
Q6QZ88,P61978
Q6QZ91,O00571
Q6QZ91,P61978
Q6QZ99,O00571
Q6QZ99,P61978
Q6QZA0,O00571
Q6QZA0,P61978
Q6QZA1,O00571
Q6QZA1,P61978
Q6QZA2,O00571
Q6QZA2,P61978
Q6QZA3,O00571
Q6QZA3,P61978
Q6QZA4,O00571
Q6QZA4,P61978
Q6QZA5,O00571
Q6QZA5,P61978
Q6QZA6,O00571
Q6QZA6,P61978
Q6QZA7,O00571
Q6QZA7,P61978
Q6QZA9,O00571
Q6QZA9,P61978
Q6QZD2,O00571
Q6QZD2,P61978
Q6QZD3,O00571
Q6QZD3,P61978
Q6QZD8,O00571
Q6QZD8,P61978
Q6QZE2,O00571
Q6QZE2,P61978
Q6QZE3,O00571
Q6QZE3,P61978
Q6QZE5,O00571
Q6QZE5,P61978
Q6QZE7,O00571
Q6QZE7,P61978
Q6QZE8,O00571
Q6QZE8,P61978
Q6QZE9,O00571
Q6QZE9,P61978
Q6QZF1,O00571
Q6QZF1,P61978
Q6QZF2,O00571
Q6QZF2,P61978
Q6QZG0,O00571
Q6QZG0,P61978
Q6QZG4,O00571
Q6QZG4,P61978
Q6QZG5,O00571
Q6QZG5,P61978
Q6QZG6,O00571
Q6QZG6,P61978
Q6QZG7,O00571
Q6QZG7,P61978
Q6QZG8,O00571
Q6QZG8,P61978
Q6QZG9,O00571
Q6QZG9,P61978
Q6QZH0,O00571
Q6QZH0,P61978
Q6QZH1,O00571
Q6QZH1,P61978
Q6QZH2,O00571
Q6QZH2,P61978
Q6QZH3,O00571
Q6QZH3,P61978
Q6TZ25,P02647
Q6UNT8,O00571
Q6UNT8,P61978
Q8BES1,O00571
Q8BES1,P61978
Q91AU0,P28062
Q68113,P36941
Q68123,P36941
Q68124,P36941
Q68139,P36941
Q68149,P36941
Q6QY91,P36941
Q6QY92,P36941
Q6QY99,P36941
Q6QYA1,P36941
Q6QYA2,P36941
Q6QYA6,P36941
Q6QYA7,P36941
Q6QYB1,P36941
Q6QYB2,P36941
Q6QYB4,P36941
Q6QYB6,P36941
Q6QYB7,P36941
Q6QYB8,P36941
Q6QYB9,P36941
Q6QYC1,P36941
Q6QYC2,P36941
Q6QYC3,P36941
Q6QYE5,P36941
Q6QYE6,P36941
Q6QYE7,P36941
Q6QYE8,P36941
Q6QYE9,P36941
Q6QYF0,P36941
Q6QYF1,P36941
Q6QYF2,P36941
Q6QYF6,P36941
Q6QYF7,P36941
Q6QYF9,P36941
Q6QYG0,P36941
Q6QYG5,P36941
Q6QYJ7,P36941
Q6QYJ9,P36941
Q6QYK0,P36941
Q6QYK2,P36941
Q6QYK3,P36941
Q6QYK6,P36941
Q6QYK7,P36941
Q6QYK8,P36941
Q6QYK9,P36941
Q6QYL0,P36941
Q6QYL1,P36941
Q6QYL2,P36941
Q6QYL4,P36941
Q6QYL5,P36941
Q6QYM0,P36941
Q6QYN0,P36941
Q6QYQ9,P36941
Q6QYR0,P36941
Q6QYR1,P36941
Q6QYR2,P36941
Q6QYR3,P36941
Q6QYR4,P36941
Q6QYR5,P36941
Q6QYR6,P36941
Q6QYR7,P36941
Q6QYT2,P36941
Q6QYT4,P36941
Q6QYT5,P36941
Q6QYT6,P36941
Q6QYT7,P36941
Q6QYT8,P36941
Q6QYT9,P36941
Q6QYU0,P36941
Q6QYU1,P36941
Q6QYU2,P36941
Q6QYU3,P36941
Q6QZ00,P36941
Q6QZ04,P36941
Q6QZ15,P36941
Q6QZ18,P36941
Q6QZ19,P36941
Q6QZ20,P36941
Q6QZ21,P36941
Q6QZ22,P36941
Q6QZ25,P36941
Q6QZ26,P36941
Q6QZ27,P36941
Q6QZ28,P36941
Q6QZ29,P36941
Q6QZ31,P36941
Q6QZ32,P36941
Q6QZ56,P36941
Q6QZ58,P36941
Q6QZ60,P36941
Q6QZ61,P36941
Q6QZ62,P36941
Q6QZ63,P36941
Q6QZ64,P36941
Q6QZ67,P36941
Q6QZ80,P36941
Q6QZ81,P36941
