,virusUprot,humanUprot
1541,P03430,P51116
1542,P05777,Q92841
1543,P03454,P09874
1544,P03470,Q15365
1545,P15682,P04406
1546,P15682,Q15233
1547,P03454,Q9Y3Z3
1548,P03470,P06753
1549,P15682,Q15366
1550,P03470,P26038
1551,P03430,P18621
1552,P05780,O15260
1553,P15682,P33991
1554,P15682,Q9Y3U8
1555,Q20MH0,Q14257
1556,P03470,Q99623
1557,P05777,P19338
1558,P03427,Q14315
1559,P03430,Q8N3Z0
1560,Q82506,P42766
1561,P05780,P52434
1562,P03427,P52815
1563,P03470,P63241
1564,P03470,O15372
1565,Q82506,P14866
1566,P05780,Q8TCT9
1567,P05777,O15084
1568,P05780,P68363
1569,P15682,P49756
1570,P03430,P09651
1571,P05777,Q13200
1572,P03454,P84098
1573,P05777,P21333
1574,P15682,P0C0S8
1575,P05777,P46783
1576,P05780,Q96N66
1577,P05780,P55786
1578,P03470,Q92499
1579,P03427,P62847
1580,P03470,P63244
1581,P03427,Q12879
1582,P05780,Q96T76
1583,P05780,Q29RF7
1585,P15682,P49458
1586,P05777,O95373
1587,P03470,P09661
1588,P05780,O75794
1589,P15682,P60174
1590,P03496,O95793
1591,P03454,P04406
1592,P03454,P62750
1593,P15682,P61604
1594,P03454,P50454
1595,P05780,P14868
1596,P05777,O75506
1597,P15682,P41091
1598,P05777,Q92499
1599,P03430,Q13263
1600,P15682,Q9UNM6
1601,P05780,Q27J81
1602,P03427,P26358
1603,P03427,P55209
1604,P15682,Q9Y383
1605,P05777,P63241
1606,P05777,P18077
1607,P05777,P62820
1608,P03470,Q86VP6
1609,P03470,O43684
1610,P05777,P45880
1611,P03470,P48047
1612,P03427,P31946
1613,P03427,P46781
1614,P03470,P62820
1615,P15659,Q86WR0
1616,P15682,O00232
1617,P15682,O75569
1618,P03430,P39023
1619,P05777,Q9P035
1620,P15659,Q9Y2W1
1621,P03454,P62249
1622,P05780,P31943
1623,P03470,Q02952
1624,P05777,P26599
1625,P05777,P09234
1626,P05777,P51148
1627,P05777,Q9UNL2
1628,P03427,P62333
1629,P15659,P09651
1630,P03470,Q9BXS6
1631,P05780,P62753
1632,P03470,P39023
1633,P03427,P61513
1634,P03430,Q00325
1635,P05780,O00232
1636,P15659,P46379
1637,P05780,Q8TC07
1638,P05780,Q9P0J7
1639,P03430,P43686
1640,P03470,P50914
1641,P03470,P31689
1642,P05777,P55884
1643,P15659,P84077
1644,P05780,Q86VP6
1645,P03470,Q96CW1
1646,P03454,Q00325
1647,P15659,P62913
1648,Q20MH0,Q15208
1649,P03454,Q9BUF5
1650,P05780,P60866
1651,P03427,P62195
1652,P03454,P46779
1653,P03470,P27816
1654,P03427,P05388
1655,P03470,P59998
1656,P05777,Q8IYD1
1657,P03470,P12004
1658,P05777,Q9Y4P3
1659,P15682,Q15428
1660,P15659,P51665
1661,P05780,Q9UBX3
1662,P05777,P83881
1663,P15682,P62906
1664,P15682,Q14103
1665,P03470,Q13838
1666,P05780,P61221
1667,P05777,Q9GZQ8
1668,P03470,O43143
1669,P05777,O14925
1670,P15682,P13051
1671,Q82506,P16402
1672,P03470,Q13247
1673,P03430,P29692
1675,P05777,P02786
1677,P03470,Q9Y224
1678,P03470,Q8N5C6
1679,P15659,Q13200
1680,P05777,Q86V81
1681,P05777,P78362
1682,P15659,Q14498
1683,P05777,P61981
1684,P05780,P02786
1686,P03470,O43324
1687,P05780,Q9H9Q2
1688,P05777,P26640
1689,P03470,Q9Y6M1
1690,P15682,O60264
1691,P15682,Q9Y262
1692,P05777,P84098
1693,P15682,Q13310
1694,P05777,P62841
1695,P03470,Q9C005
1696,P03470,Q8WWM7
1697,P03496,O95786
1698,P03454,P05387
1699,P15659,Q9UJY1
1700,P15659,P60903
1701,P05780,Q9NZJ7
1702,P03496,Q14258
1703,P03470,P84243
1704,P03430,P84090
1705,P03470,P62750
1706,Q82506,P05387
