virusUprot,humanUprot
O56264,P63104
O56264,Q16777
O56264,Q8WWM7
O56264,P09651
O56264,O14979
O56264,Q8N163
O56264,Q5QNW6
O56264,Q9BUJ2
O56264,Q99880
O56264,O15226
O56264,P07437
O56264,P51991
O56264,P27986
O56264,Q86U42
O56264,O00425
O56264,Q14103
O56264,P11940
O56264,Q99878
O56264,P68371
O56264,P31942
O56264,P20671
O56264,O43390
O56264,Q9BTM1
O56264,P46782
O56264,P38159
O56264,P16989
O56264,P84090
O56264,P43243
O56264,Q08211
O56264,O00459
O56264,P12235
O56264,Q86V81
O56264,O14654
O56264,P23527
O56264,P06899
O56264,O43143
O56264,O75569
O56264,P46783
O56264,Q00839
O56264,Q99729
O56264,P35637
O56264,P42336
O56264,Q13310
O56264,Q99877
O56264,P61981
O56264,Q9Y6M1
O56264,Q7L7L0
O56264,Q15717
O56264,P25398
O56264,Q13151
O56264,P67809
O56264,O60814
O56264,P62318
O56264,P68104
O56264,P12236
O56264,Q15366
O56264,Q92569
O56264,P04908
O56264,P42338
O56264,O15523
O56264,Q9H0D6
Q6PNE5,O14654
Q6PNE5,O00459
Q6PNE5,Q08211
Q6PNE5,O43390
Q6PNE5,O60506
Q0HD54,Q02878
Q0HD54,P18621
Q0HD54,P62899
Q0HD54,P62910
Q0HD54,P62829
Q0HD54,P62249
Q0HD54,O43390
Q0HD54,P49207
Q0HD54,P18124
Q0HD54,Q08211
Q0HD54,Q9BTM1
Q0HD54,P61513
Q0HD54,P62888
Q0HD54,Q9UNX3
Q0HD54,P61313
Q0HD54,Q6FI13
Q0HD54,Q9UI10
Q0HD54,P46779
Q0HD54,Q12905
Q0HD54,Q8NC51
Q0HD54,P50914
Q0HD54,O75569
Q0HD54,P38159
Q0HD54,O95793
Q0HD54,Q7L7L0
Q0HD54,P62847
Q0HD54,P0C0S8
Q0HD54,Q07020
Q0HD54,P42766
Q0HD54,P84098
Q0HD54,P34931
Q0HD54,P62854
Q0HD54,P62280
Q0HD54,Q16777
Q0HD54,P62424
Q0HD54,Q99714
Q0HD54,P39023
Q0HD54,P20671
Q0HD54,P67809
Q0HD54,P46776
Q0HD54,P05388
Q0HD54,P08865
Q0HD54,Q92522
Q0HD54,Q12906
Q0HD54,P07910
Q0HD54,P39019
Q0HD54,P62750
Q0HD54,P83881
Q0HD54,Q93077
Q0HD54,P63220
Q0HD54,P62917
Q0HD54,P16989
Q0HD54,P62861
Q0HD54,P83731
Q0HD54,P63173
Q0HD54,P62913
Q0HD54,P55265
Q0HD54,P46778
Q0HD54,Q9UL40
Q0HD54,P61254
Q0HD54,Q96KK5
Q0HD54,P35268
Q0HD54,P46783
Q0HD54,Q969Q0
Q0HD54,Q99878
Q0HD54,P36578
Q0HD54,P05386
